zero	0
one	1
two	2
three	3
four	4
five	5
six	6
seven	7
eight	8
nine	9
hyphen	-
excl	!
lpar	(
rpar	)
slash	/
lbrack	[
lbrace	\{
rbrace	\}
alpha	\alpha
beta	\beta
cos	\cos
divide	\div
exist	\exists
forall	\forall
gamma	\gamma
ge	\geq
gt	\gt
isin	\in
infin	\infty
int	\int
hellip	\ldots
le	\leq
lim	\lim
log	\log
lt	\lt
ne	\neq
phi	\phi
pi	\pi
plusmn	\pm
rarr	\rightarrow
sin	\sin
Sqrt	\sqrt
Sigma	\sum
tan	\tan
theta	\theta
times	\times
rbrack	]
plus	+
equals	=
a	a
A	A
b	b
B	B
c	c
C	C
d	d
e	e
F	F
f	f
g	g
i	i
j	j
k	k
m	m
n	n
p	p
r	r
t	t
x	x
X	X
y	y
Y	Y
z	z
